camsid,radio_maxflux,fitsfile_max
50,2.8e+03,2020-08-12T21:07:28.4_16B.fits
52,8.4e+03,2020-08-12T21:08:06.6_15B.fits
54,5.9e+03,2020-08-12T21:12:12.2_14B.fits
57,2.7e+04,2020-08-12T21:12:52.5_16B.fits
58,2.8e+04,2020-08-12T21:12:52.5_16B.fits
59,3.8e+03,2020-08-12T21:14:09.0_15B.fits
60,9.8e+03,2020-08-12T21:14:57.3_14B.fits
65,7.2e+03,2020-08-12T21:17:50.5_16B.fits
66,1.6e+03,2020-08-12T21:19:13.0_15B.fits
70,3.1e+03,2020-08-12T21:20:29.5_15B.fits
71,1.3e+03,2020-08-12T21:21:07.8_15B.fits
72,1.2e+03,2020-08-12T21:21:07.8_15B.fits
77,2.4e+05,2020-08-12T21:25:57.7_14B.fits
92,2.2e+03,2020-08-12T21:39:55.2_16B.fits
101,2.5e+04,2020-08-12T21:46:03.6_12B.fits
102,8.5e+03,2020-08-12T21:46:13.7_16B.fits
103,9.1e+03,2020-08-12T21:47:08.0_14B.fits
128,1.4e+03,2020-08-12T21:58:18.5_14B.fits
142,3.1e+04,2020-08-12T22:11:01.5_15B.fits
143,2.8e+03,2020-08-12T22:10:57.5_14B.fits
144,4.1e+04,2020-08-12T22:12:09.9_16B.fits
147,3.3e+05,2020-08-12T22:14:12.7_14B.fits
148,6.8e+03,2020-08-12T22:14:34.9_15B.fits
151,1.5e+04,2020-08-12T22:16:13.5_13B.fits
154,7.8e+04,2020-08-12T22:18:18.4_14B.fits
171,1.5e+04,2020-08-12T22:26:27.6_16B.fits
172,1.5e+04,2020-08-12T22:26:27.6_16B.fits
175,1.4e+04,2020-08-12T22:28:12.3_16B.fits
235,3.9e+04,2020-08-12T23:00:58.7_16B.fits
241,8.3e+05,2020-08-12T23:04:16.0_16B.fits
249,1.2e+05,2020-08-12T23:08:17.6_16B.fits
253,3.8e+03,2020-08-12T23:09:58.3_16B.fits
254,4.3e+03,2020-08-12T23:11:45.0_16B.fits
255,4.9e+03,2020-08-12T23:12:09.1_16B.fits
256,1.1e+03,2020-08-12T23:12:29.3_16B.fits
263,5.8e+03,2020-08-12T23:15:12.3_14B.fits
270,4.0e+04,2020-08-12T23:18:39.7_16B.fits
276,7.9e+02,2020-08-12T23:21:51.0_16B.fits
277,1.9e+03,2020-08-12T23:22:29.2_16B.fits
278,5.3e+03,2020-08-12T23:22:41.3_16B.fits
279,1.6e+04,2020-08-12T23:22:59.4_16B.fits
283,1.7e+05,2020-08-12T23:25:12.3_16B.fits
284,3.1e+03,2020-08-12T23:25:40.5_15B.fits
285,2.2e+05,2020-08-12T23:25:54.6_16B.fits
287,2.5e+04,2020-08-12T23:26:08.7_15B.fits
288,2.5e+04,2020-08-12T23:26:08.7_15B.fits
295,1.1e+03,2020-08-12T23:29:46.1_16B.fits
296,4.9e+03,2020-08-12T23:30:12.3_14B.fits
297,1.3e+03,2020-08-12T23:31:02.6_15B.fits
309,2.9e+05,2020-08-12T23:36:38.8_14B.fits
315,8.1e+03,2020-08-12T23:39:05.8_16B.fits
317,1.8e+03,2020-08-12T23:42:41.2_16B.fits
319,8.7e+04,2020-08-12T23:45:14.2_15B.fits
320,1.2e+05,2020-08-12T23:45:44.4_16B.fits
323,3.7e+03,2020-08-12T23:46:42.8_16B.fits
325,1.2e+03,2020-08-12T23:48:47.6_15B.fits
327,2.1e+03,2020-08-12T23:51:08.5_16B.fits
329,3.2e+03,2020-08-12T23:52:21.0_14B.fits
332,1.1e+04,2020-08-12T23:54:21.8_15B.fits
333,3.1e+03,2020-08-12T23:57:41.1_14B.fits
344,1.6e+05,2020-08-13T00:05:04.0_12B.fits
346,1.8e+03,2020-08-13T00:07:03.8_14B.fits
351,3.9e+03,2020-08-13T00:11:02.4_14B.fits
