camsid,x0,x1,xbeg,xend,hbeg_radio,hend_radio,fitsfile_with_detection_beg,fitsfile_with_detection_end
50,223.726,270.027,229.379,258.411,91.587,83.716,2020-08-12T21:07:28.4_16B.fits,2020-08-12T21:07:28.4_16B.fits
52,214.889,274.173,230.992,253.573,106.236,98.000,2020-08-12T21:08:04.6_15B.fits,2020-08-12T21:08:04.6_15B.fits
54,226.557,266.323,247.927,287.444,100.711,88.106,2020-08-12T21:12:14.2_13B.fits,2020-08-12T21:12:14.2_13B.fits
57,200.655,283.896,227.766,282.605,105.199,92.101,2020-08-12T21:12:46.5_15B.fits,2020-08-12T21:12:48.5_15B.fits
58,220.100,270.718,233.411,293.089,106.217,92.107,2020-08-12T21:12:46.5_15B.fits,2020-08-12T21:12:50.5_16B.fits
59,220.502,270.244,243.895,275.347,103.797,93.484,2020-08-12T21:14:11.0_15B.fits,2020-08-12T21:14:11.0_15B.fits
60,197.585,285.574,213.250,285.831,108.892,88.601,2020-08-12T21:14:49.3_14B.fits,2020-08-12T21:14:51.3_14B.fits
65,212.371,277.814,285.831,296.315,100.486,97.958,2020-08-12T21:17:48.4_16B.fits,2020-08-12T21:17:48.4_16B.fits
66,229.068,264.532,261.637,262.444,102.548,102.359,2020-08-12T21:19:13.0_15B.fits,2020-08-12T21:19:13.0_15B.fits
70,223.658,268.576,251.960,273.734,102.387,98.202,2020-08-12T21:20:29.5_16B.fits,2020-08-12T21:20:29.5_16B.fits
71,218.158,272.635,253.573,264.863,99.259,97.002,2020-08-12T21:21:07.8_15B.fits,2020-08-12T21:21:07.8_15B.fits
72,211.333,277.510,260.831,272.927,99.530,97.263,2020-08-12T21:21:07.8_15B.fits,2020-08-12T21:21:07.8_15B.fits
77,98.019,358.597,243.895,359.218,105.621,88.663,2020-08-12T21:25:49.6_13B.fits,2020-08-12T21:25:51.6_13B.fits
92,196.061,289.697,242.282,276.153,104.311,97.727,2020-08-12T21:39:55.2_16B.fits,2020-08-12T21:39:55.2_16B.fits
101,220.650,270.425,272.927,280.992,102.155,99.710,2020-08-12T21:46:05.6_15B.fits,2020-08-12T21:46:05.6_15B.fits
102,220.384,270.494,242.282,267.282,101.706,94.197,2020-08-12T21:46:13.7_16B.fits,2020-08-12T21:46:13.7_16B.fits
103,179.257,297.788,235.024,306.798,102.515,84.984,2020-08-12T21:47:06.0_14B.fits,2020-08-12T21:47:08.0_14B.fits
128,155.593,339.376,276.960,290.669,97.196,95.397,2020-08-12T21:58:18.5_14B.fits,2020-08-12T21:58:18.5_14B.fits
142,203.767,282.089,239.863,259.218,107.640,100.747,2020-08-12T22:10:43.4_16B.fits,2020-08-12T22:10:43.4_16B.fits
143,215.633,276.010,227.766,231.798,108.446,107.701,2020-08-12T22:10:57.5_14B.fits,2020-08-12T22:10:57.5_14B.fits
144,185.094,299.892,246.315,290.669,103.573,97.493,2020-08-12T22:12:11.9_14B.fits,2020-08-12T22:12:11.9_14B.fits
147,192.560,289.109,222.121,280.992,107.708,86.071,2020-08-12T22:14:12.7_14B.fits,2020-08-12T22:14:12.7_14B.fits
148,219.691,271.492,244.702,271.315,102.911,95.511,2020-08-12T22:14:36.9_15B.fits,2020-08-12T22:14:36.9_15B.fits
151,208.522,278.946,262.444,299.540,103.980,91.881,2020-08-12T22:15:59.4_14B.fits,2020-08-12T22:15:59.4_14B.fits
154,220.739,270.661,236.637,282.605,105.996,83.902,2020-08-12T22:18:18.4_13B.fits,2020-08-12T22:18:18.4_13B.fits
171,222.559,269.360,235.024,264.863,105.671,97.743,2020-08-12T22:26:27.6_16B.fits,2020-08-12T22:26:27.6_16B.fits
172,229.693,264.018,235.024,259.218,104.743,98.284,2020-08-12T22:26:27.6_16B.fits,2020-08-12T22:26:27.6_16B.fits
175,174.447,313.386,235.831,310.831,103.847,93.267,2020-08-12T22:28:10.3_15B.fits,2020-08-12T22:28:10.3_15B.fits
235,188.330,297.611,218.895,288.250,104.823,94.200,2020-08-12T23:00:54.7_16B.fits,2020-08-12T23:00:54.7_16B.fits
241,212.471,277.368,234.218,252.766,106.121,99.636,2020-08-12T23:03:31.7_15B.fits,2020-08-12T23:03:31.7_15B.fits
249,192.688,291.465,268.895,333.411,104.387,86.563,2020-08-12T23:07:59.5_16B.fits,2020-08-12T23:07:59.5_16B.fits
253,235.196,260.126,270.508,283.411,88.164,85.011,2020-08-12T23:09:58.3_16B.fits,2020-08-12T23:09:58.3_16B.fits
254,172.310,311.504,251.960,280.992,104.896,98.426,2020-08-12T23:11:47.0_16B.fits,2020-08-12T23:11:47.0_16B.fits
255,238.722,257.044,226.960,255.992,111.135,96.558,2020-08-12T23:12:07.1_16B.fits,2020-08-12T23:12:07.1_16B.fits
256,221.352,271.973,242.282,255.992,105.281,100.857,2020-08-12T23:12:29.3_16B.fits,2020-08-12T23:12:29.3_16B.fits
263,214.757,275.587,280.185,297.927,101.989,97.307,2020-08-12T23:15:12.3_14B.fits,2020-08-12T23:15:12.3_14B.fits
270,220.864,270.347,249.540,285.831,102.738,85.620,2020-08-12T23:18:29.6_15B.fits,2020-08-12T23:18:29.6_15B.fits
276,215.915,277.309,244.702,269.702,103.724,97.689,2020-08-12T23:21:53.0_15B.fits,2020-08-12T23:21:53.0_15B.fits
277,212.878,277.519,279.379,302.766,104.427,98.610,2020-08-12T23:22:29.2_16B.fits,2020-08-12T23:22:29.2_16B.fits
278,234.295,260.442,243.895,256.798,102.569,95.464,2020-08-12T23:22:41.3_15B.fits,2020-08-12T23:22:41.3_15B.fits
279,234.051,260.708,258.411,264.056,97.633,95.851,2020-08-12T23:22:59.4_16B.fits,2020-08-12T23:22:59.4_16B.fits
283,206.188,281.858,262.444,310.831,102.851,85.460,2020-08-12T23:24:52.2_16B.fits,2020-08-12T23:24:52.2_16B.fits
284,233.729,260.920,249.540,255.992,99.869,97.300,2020-08-12T23:25:40.5_15B.fits,2020-08-12T23:25:40.5_15B.fits
285,220.066,270.939,267.282,280.992,91.689,84.944,2020-08-12T23:25:42.5_15B.fits,2020-08-12T23:25:42.5_15B.fits
287,238.761,257.016,225.347,237.444,114.670,108.871,2020-08-12T23:26:08.7_15B.fits,2020-08-12T23:26:08.7_15B.fits
288,228.395,264.854,240.669,272.121,103.531,90.468,2020-08-12T23:26:08.7_15B.fits,2020-08-12T23:26:18.7_14B.fits
295,220.218,271.614,251.153,265.669,100.677,96.499,2020-08-12T23:29:44.1_16B.fits,2020-08-12T23:29:44.1_16B.fits
296,227.207,265.934,246.315,278.573,102.925,88.712,2020-08-12T23:30:08.2_14B.fits,2020-08-12T23:30:08.2_14B.fits
297,238.918,257.023,241.476,255.185,90.121,85.261,2020-08-12T23:31:02.6_15B.fits,2020-08-12T23:31:02.6_15B.fits
309,149.160,332.271,210.831,339.863,105.543,78.862,2020-08-12T23:36:08.6_14B.fits,2020-08-12T23:36:08.6_14B.fits
315,235.858,259.382,246.315,267.282,102.499,92.879,2020-08-12T23:39:05.8_16B.fits,2020-08-12T23:39:05.8_16B.fits
317,205.485,283.701,249.540,269.702,101.325,97.200,2020-08-12T23:42:41.2_16B.fits,2020-08-12T23:42:41.2_16B.fits
319,204.925,282.146,229.379,300.347,105.483,70.237,2020-08-12T23:44:07.8_16B.fits,2020-08-12T23:44:07.8_16B.fits
320,236.412,258.877,246.315,265.669,102.081,92.772,2020-08-12T23:45:46.4_16B.fits,2020-08-12T23:45:46.4_16B.fits
323,233.141,261.379,256.798,279.379,101.185,93.011,2020-08-12T23:46:42.8_16B.fits,2020-08-12T23:46:42.8_16B.fits
325,214.009,276.155,232.605,244.702,101.682,98.079,2020-08-12T23:48:47.6_15B.fits,2020-08-12T23:48:47.6_15B.fits
327,208.448,279.390,264.863,295.508,89.834,82.038,2020-08-12T23:51:04.5_16B.fits,2020-08-12T23:51:04.5_16B.fits
329,232.077,262.370,247.927,261.637,99.997,96.254,2020-08-12T23:52:21.0_14B.fits,2020-08-12T23:52:21.0_14B.fits
332,189.171,296.001,256.798,312.444,103.175,85.693,2020-08-12T23:54:01.7_15B.fits,2020-08-12T23:54:03.7_15B.fits
333,157.628,333.334,218.089,307.605,103.847,89.171,2020-08-12T23:57:41.1_14B.fits,2020-08-12T23:57:41.1_14B.fits
344,227.679,265.763,235.831,273.734,106.712,88.063,2020-08-13T00:05:04.0_12B.fits,2020-08-13T00:05:08.1_12B.fits
